g:100; b:1.0; p:0.3; NOCs:0; fc:0.998
g:8500; b:1.2000000000000002; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.2000000000000002; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.3000000000000003; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.3000000000000003; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.4000000000000004; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.4000000000000004; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.5000000000000004; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.5000000000000004; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.6000000000000005; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.6000000000000005; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.7000000000000006; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.7000000000000006; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.8000000000000007; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.8000000000000007; p:0.8; NOCs:0; fc:0.0
g:8500; b:1.9000000000000008; p:0.3; NOCs:0; fc:0.0
g:8500; b:1.9000000000000008; p:0.8; NOCs:0; fc:0.0
g:100; b:1.0; p:0.3; NOCs:1; fc:0.9676746666666667
g:100; b:1.0; p:0.8; NOCs:1; fc:0.9926993333333352
g:100; b:1.1; p:0.3; NOCs:1; fc:0.998
g:100; b:1.1; p:0.8; NOCs:1; fc:0.41792466666666706
g:100; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.9610713333333333
g:100; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.0
g:100; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.8995673333333334
g:100; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.0
g:100; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.9353633333333337
g:100; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.0
g:100; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.998
g:100; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.0
g:100; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.998
g:100; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.0
g:100; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.998
g:100; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.0
g:100; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.9705819999999997
g:100; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.0
g:100; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.0
g:100; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.0; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.0; p:0.8; NOCs:1; fc:0.7243566666666656
g:1000; b:1.1; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.1; p:0.8; NOCs:1; fc:0.3498139999999995
g:1000; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.3090826666666667
g:1000; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.3049646666666665
g:1000; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.17518999999999985
g:1000; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.8478540000000001
g:1000; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.24679266666666638
g:1000; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.9234300000000009
g:1000; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.05482599999999995
g:1000; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.03028133333333329
g:1000; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.016702000000000015
g:1000; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.9570953333333332
g:1000; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.00033266666666666893
g:8500; b:1.0; p:0.3; NOCs:1; fc:0.6223326666666669
g:8500; b:1.0; p:0.8; NOCs:1; fc:0.998
g:8500; b:1.1; p:0.3; NOCs:1; fc:0.998
g:8500; b:1.1; p:0.8; NOCs:1; fc:0.5379833333333334
g:8500; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.44853066666666674
g:8500; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.4840540000000001
g:8500; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.3473006666666667
g:8500; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.998
g:8500; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.91949
g:8500; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.9862773333333333
g:8500; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.998
g:8500; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.998
g:8500; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.7681233333333342
g:8500; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.998
g:8500; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.0
g:8500; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.9650086666666672
g:8500; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.993425333333333
g:8500; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.998
g:8500; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.998
g:8500; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
g:100; b:1.0; p:0.3; NOCs:0; fc:0.998
g:100; b:1.0; p:0.8; NOCs:0; fc:0.9928820000000002
g:100; b:1.1; p:0.3; NOCs:0; fc:0.998
g:100; b:1.1; p:0.8; NOCs:0; fc:0.0
g:100; b:1.2000000000000002; p:0.3; NOCs:0; fc:0.5259411999999999
g:100; b:1.2000000000000002; p:0.8; NOCs:0; fc:0.0
g:100; b:1.3000000000000003; p:0.3; NOCs:0; fc:0.23571120000000007
g:100; b:1.3000000000000003; p:0.8; NOCs:0; fc:0.0
g:100; b:1.4000000000000004; p:0.3; NOCs:0; fc:0.07694200000000005
g:100; b:1.4000000000000004; p:0.8; NOCs:0; fc:0.0
g:100; b:1.5000000000000004; p:0.3; NOCs:0; fc:0.0
g:100; b:1.5000000000000004; p:0.8; NOCs:0; fc:0.0
g:100; b:1.6000000000000005; p:0.3; NOCs:0; fc:0.0
g:100; b:1.6000000000000005; p:0.8; NOCs:0; fc:0.0
g:100; b:1.7000000000000006; p:0.3; NOCs:0; fc:0.0
g:100; b:1.7000000000000006; p:0.8; NOCs:0; fc:0.0
g:100; b:1.8000000000000007; p:0.3; NOCs:0; fc:0.0
g:100; b:1.8000000000000007; p:0.8; NOCs:0; fc:0.0
g:100; b:1.9000000000000008; p:0.3; NOCs:0; fc:0.0
g:100; b:1.9000000000000008; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.0; p:0.3; NOCs:0; fc:0.998
g:1000; b:1.0; p:0.8; NOCs:0; fc:0.9108447999999996
g:1000; b:1.1; p:0.3; NOCs:0; fc:0.998
g:1000; b:1.1; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.2000000000000002; p:0.3; NOCs:0; fc:0.9823728
g:1000; b:1.2000000000000002; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.3000000000000003; p:0.3; NOCs:0; fc:0.3332504
g:1000; b:1.3000000000000003; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.4000000000000004; p:0.3; NOCs:0; fc:0.2172563999999999
g:1000; b:1.4000000000000004; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.5000000000000004; p:0.3; NOCs:0; fc:0.09519560000000007
g:1000; b:1.5000000000000004; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.6000000000000005; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.6000000000000005; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.7000000000000006; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.7000000000000006; p:0.8; NOCs:0; fc:0.00019960000000000016
g:1000; b:1.8000000000000007; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.8000000000000007; p:0.8; NOCs:0; fc:0.0
g:1000; b:1.9000000000000008; p:0.3; NOCs:0; fc:0.0
g:1000; b:1.9000000000000008; p:0.8; NOCs:0; fc:0.0
g:5500; b:1.0; p:0.3; NOCs:0; fc:0.998
g:5500; b:1.0; p:0.8; NOCs:0; fc:0.998
g:5500; b:1.1; p:0.3; NOCs:0; fc:0.998
g:5500; b:1.1; p:0.8; NOCs:0; fc:0.998
g:5500; b:1.2000000000000002; p:0.3; NOCs:0; fc:0.5421152000000004
g:5500; b:1.2000000000000002; p:0.8; NOCs:0; fc:0.5509448000000005
g:5500; b:1.3000000000000003; p:0.3; NOCs:0; fc:0.2834740000000003
g:5500; b:1.3000000000000003; p:0.8; NOCs:0; fc:0.2814132000000002
g:5500; b:1.4000000000000004; p:0.3; NOCs:0; fc:0.17748280000000022
g:5500; b:1.4000000000000004; p:0.8; NOCs:0; fc:0.16734520000000017
g:5500; b:1.5000000000000004; p:0.3; NOCs:0; fc:0.10321519999999998
g:5500; b:1.5000000000000004; p:0.8; NOCs:0; fc:0.10603319999999994
g:5500; b:1.6000000000000005; p:0.3; NOCs:0; fc:0.012080399999999995
g:5500; b:1.6000000000000005; p:0.8; NOCs:0; fc:0.0
g:5500; b:1.7000000000000006; p:0.3; NOCs:0; fc:0.0
g:5500; b:1.7000000000000006; p:0.8; NOCs:0; fc:0.0
g:5500; b:1.8000000000000007; p:0.3; NOCs:0; fc:0.0
g:5500; b:1.8000000000000007; p:0.8; NOCs:0; fc:0.0
g:5500; b:1.9000000000000008; p:0.3; NOCs:0; fc:0.0
g:5500; b:1.9000000000000008; p:0.8; NOCs:0; fc:0.0
g:100; b:1.0; p:0.3; NOCs:1; fc:0.998
g:100; b:1.0; p:0.8; NOCs:1; fc:0.998
g:100; b:1.1; p:0.3; NOCs:1; fc:0.998
g:100; b:1.1; p:0.8; NOCs:1; fc:0.998
g:100; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.998
g:100; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.9864852000000001
g:100; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.998
g:100; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.9484459999999999
g:100; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.998
g:100; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.7563111999999996
g:100; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.998
g:100; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.6168456000000003
g:100; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.998
g:100; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.46563079999999973
g:100; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.8432076000000006
g:100; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.0
g:100; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.0
g:100; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.0
g:100; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.019302400000000008
g:100; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
g:1000; b:1.0; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.0; p:0.8; NOCs:1; fc:0.963754800000007
g:1000; b:1.1; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.1; p:0.8; NOCs:1; fc:0.9256256
g:1000; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.9246812000000005
g:1000; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.8836299999999989
g:1000; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.838408
g:1000; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.7195108000000003
g:1000; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.998
g:1000; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.5902360000000006
g:1000; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.8459272
g:1000; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.5080080000000005
g:1000; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.6874939999999998
g:1000; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.003994000000000003
g:1000; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.0
g:1000; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
g:5500; b:1.0; p:0.3; NOCs:1; fc:0.998
g:5500; b:1.0; p:0.8; NOCs:1; fc:0.998
g:5500; b:1.1; p:0.3; NOCs:1; fc:0.9969488
g:5500; b:1.1; p:0.8; NOCs:1; fc:0.998
g:5500; b:1.2000000000000002; p:0.3; NOCs:1; fc:0.998
g:5500; b:1.2000000000000002; p:0.8; NOCs:1; fc:0.998
g:5500; b:1.3000000000000003; p:0.3; NOCs:1; fc:0.9961676
g:5500; b:1.3000000000000003; p:0.8; NOCs:1; fc:0.998
g:5500; b:1.4000000000000004; p:0.3; NOCs:1; fc:0.998
g:5500; b:1.4000000000000004; p:0.8; NOCs:1; fc:0.9893296000000001
g:5500; b:1.5000000000000004; p:0.3; NOCs:1; fc:0.998
g:5500; b:1.5000000000000004; p:0.8; NOCs:1; fc:0.998
g:5500; b:1.6000000000000005; p:0.3; NOCs:1; fc:0.9194784
g:5500; b:1.6000000000000005; p:0.8; NOCs:1; fc:0.9978636
g:5500; b:1.7000000000000006; p:0.3; NOCs:1; fc:0.9189448
g:5500; b:1.7000000000000006; p:0.8; NOCs:1; fc:0.9784447999999999
g:5500; b:1.8000000000000007; p:0.3; NOCs:1; fc:0.01576759999999999
g:5500; b:1.8000000000000007; p:0.8; NOCs:1; fc:0.023409600000000003
g:5500; b:1.9000000000000008; p:0.3; NOCs:1; fc:0.004909999999999999
g:5500; b:1.9000000000000008; p:0.8; NOCs:1; fc:0.0
