regular_NOCs, PD
Init: players
Step:0
players[109]: Index: 109; Strategy: False; AccPayOffs: 2
players[110]: Index: 110; Strategy: False; AccPayOffs: 6
players[111]: Index: 111; Strategy: True; AccPayOffs: 1
players[112]: Index: 112; Strategy: False; AccPayOffs: 0
players[113]: Index: 113; Strategy: True; AccPayOffs: 1
players[114]: Index: 114; Strategy: True; AccPayOffs: 3
players[115]: Index: 115; Strategy: True; AccPayOffs: 2
players[116]: Index: 116; Strategy: True; AccPayOffs: 4
players[117]: Index: 117; Strategy: False; AccPayOffs: 4
players[118]: Index: 118; Strategy: True; AccPayOffs: 0
players[119]: Index: 119; Strategy: True; AccPayOffs: 2
players[120]: Index: 120; Strategy: True; AccPayOffs: 4
players[121]: Index: 121; Strategy: False; AccPayOffs: 0
players[122]: Index: 122; Strategy: True; AccPayOffs: 8
players[123]: Index: 123; Strategy: True; AccPayOffs: 3
players[124]: Index: 124; Strategy: False; AccPayOffs: 4
players[125]: Index: 125; Strategy: True; AccPayOffs: 4
players[126]: Index: 126; Strategy: True; AccPayOffs: 2
players[127]: Index: 127; Strategy: False; AccPayOffs: 2
players[128]: Index: 128; Strategy: False; AccPayOffs: 2
players[129]: Index: 129; Strategy: False; AccPayOffs: 4
players[130]: Index: 130; Strategy: True; AccPayOffs: 2
players[131]: Index: 131; Strategy: True; AccPayOffs: 1
players[132]: Index: 132; Strategy: True; AccPayOffs: 4
players[133]: Index: 133; Strategy: True; AccPayOffs: 6
players[134]: Index: 134; Strategy: False; AccPayOffs: 2
players[135]: Index: 135; Strategy: True; AccPayOffs: 6
players[136]: Index: 136; Strategy: True; AccPayOffs: 4
players[137]: Index: 137; Strategy: True; AccPayOffs: 2
players[138]: Index: 138; Strategy: True; AccPayOffs: 6
players[139]: Index: 139; Strategy: True; AccPayOffs: 6
players[140]: Index: 140; Strategy: True; AccPayOffs: 4
players[141]: Index: 141; Strategy: True; AccPayOffs: 4
players[142]: Index: 142; Strategy: False; AccPayOffs: 6
players[143]: Index: 143; Strategy: True; AccPayOffs: 1
players[144]: Index: 144; Strategy: False; AccPayOffs: 2
players[145]: Index: 145; Strategy: False; AccPayOffs: 4
players[146]: Index: 146; Strategy: True; AccPayOffs: 2
